archetype_id,archetype_name,player_count,avg_overall,example_players
0,Goal Threat Forward,2758,72.85,"M. Klose, M. Klose, L. Muriel, Fernando Torres, Agirretxe, C. Bacca, André Silva, N. Kalinić"
1,Ball-Carrying Creator,4253,73.4,"E. Cavani, E. Cavani, E. Cavani, M. Mandžukić, M. Mandžukić, A. Sørloth, Dušan Tadić, Iago Aspas"
2,Tempo Controller,700,80.96,"K. De Bruyne, K. De Bruyne, K. De Bruyne, K. De Bruyne, Aitana Bonmatí, J. Bellingham, Kevin De Bruyne, Alexia Putellas"
3,Defensive Midfield Anchor,2740,74.87,"Rodri, N. Kanté, Sergio Busquets, N. Kanté, N. Kanté, Casemiro, Casemiro, N. Kanté"
4,Aggressive Centre Back,6246,73.74,"G. Chiellini, K. Koulibaly, G. Chiellini, Gabriel, Pepe, D. Godín, G. Chiellini, J. Tah"
5,Modern Fullback,2356,72.48,"B. Sagna, Emily Fox, Tatumn Milazzo, B. Ivanović, M. Darmian, M. Schmelzer, S. Kolašinac, S. Posch"
6,Direct Wide Runner,1004,76.24,"P. Aubameyang, Neymar, P. Aubameyang, P. Aubameyang, Neymar, P. Aubameyang, T. Werner, D. Sturridge"
7,Pressing Forward,530,76.02,"G. Higuaín, S. Agüero, S. Agüero, S. Agüero, S. Agüero, S. Agüero, A. Griezmann, G. Higuaín"
8,Creative 10,4020,74.35,"Rafa, A. Kramarić, G. Sigurðsson, L. Insigne, S. Kagawa, W. Zaha, A. Kramarić, F. Bernardeschi"
9,Box Striker,467,79.04,"R. van Persie, Falcao, G. Higuaín, S. Agüero, S. Agüero, S. Agüero, Karim Benzema, Cristiano Ronaldo"
10,Deep Playmaker,3188,74.81,"L. Modrić, T. Kroos, T. Kroos, Rodri, L. Modrić, Vitinha, L. Modrić, Pedri"
11,Inverted Fullback,2251,76.99,"F. Valverde, A. Hakimi, J. Kimmich, J. Kimmich, P. Lahm, J. Kimmich, Marcelo, Sakina Karchaoui"
12,Sweeper Keeper,1019,76.38,"M. Neuer, M. Neuer, De Gea, M. Neuer, M. Neuer, M. Neuer, De Gea, M. ter Stegen"
13,Shot Stopper,3271,74.59,"J. Oblak, J. Oblak, J. Oblak, J. Oblak, T. Courtois, Alisson, G. Donnarumma, Alisson"
14,Progressive Centre Back,1850,76.81,"Sergio Ramos, J. Boateng, V. van Dijk, Sergio Ramos, D. Godín, V. van Dijk, V. van Dijk, Virgil van Dijk"
15,Ball-Winning 8,394,75.99,"S. McTominay, G. Xhaka, Saki Kumagai, Allan, Bruno, A. Zambo Anguissa, H. Herrera, Joelinton"
16,Hybrid Wide Creator,455,83.11,"Cristiano Ronaldo, Cristiano Ronaldo, Cristiano Ronaldo, Cristiano Ronaldo, L. Messi, L. Messi, Cristiano Ronaldo, Cristiano Ronaldo"
17,Physical Target Forward,646,78.94,"R. Lewandowski, L. Suárez, L. Suárez, R. Lewandowski, Erling Haaland, Kylian Mbappé, R. Lewandowski, L. Suárez"
18,High-Volume Progressor,647,74.96,"S. Kagawa, D. Klaassen, G. Wijnaldum, O. Dembélé, M. Tillman, J. Lingard, M. Sabitzer, G. Wijnaldum"
19,Defensive Utility Player,2187,72.82,"Beñat, Beñat, Beñat, N. Keïta, Diogo Jota, N. Keïta, A. Fernández, P. Hernández"
20,Elite Attacking Midfielder,153,86.16,"L. Messi, L. Messi, L. Messi, L. Messi, L. Messi, L. Messi, Neymar Jr, Neymar Jr"
21,Recovery Defender,1101,74.88,"G. Chiellini, K. Koulibaly, G. Chiellini, K. Koulibaly, G. Chiellini, Sokratis, Bremer, Miranda"
22,Two-Way Fullback,1648,73.23,"A. Wan-Bissaka, A. Wan-Bissaka, Nélson Semedo, D. Dumfries, Nélson Semedo, M. Darmian, Nélson Semedo, Héctor Bellerín"
23,Development Prospect,1116,74.72,"K. Mbappé, Lamine Yamal, E. Haaland, J. Sancho, K. Mbappé, M. de Ligt, G. Donnarumma, M. de Ligt"
