id,no,pos,name,dob,caps,goals,club,clubNat,clubWiki,captain,wiki,wcApps,wcGoals,wcYellow,wcRed,team_code,team_flag,team_wiki,coach,name_norm
matej-kovar,1,GK,Matěj Kovář,2000-05-17,20,0,PSV Eindhoven,NED,https://en.wikipedia.org/wiki/PSV_Eindhoven,False,https://en.wikipedia.org/wiki/Mat%C4%9Bj_Kov%C3%A1%C5%99,3,0,0,0,CZE,🇨🇿,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team,Miroslav Koubek,matej kovar
jindrich-stanek,16,GK,Jindřich Staněk,1996-04-27,14,0,Slavia Prague,CZE,https://en.wikipedia.org/wiki/SK_Slavia_Prague,False,https://en.wikipedia.org/wiki/Jind%C5%99ich_Stan%C4%9Bk,0,0,0,0,CZE,🇨🇿,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team,Miroslav Koubek,jindrich stanek
lukas-hornicek,23,GK,Lukáš Horníček,2002-07-13,1,0,Braga,POR,https://en.wikipedia.org/wiki/S.C._Braga,False,https://en.wikipedia.org/wiki/Luk%C3%A1%C5%A1_Horn%C3%AD%C4%8Dek,0,0,0,0,CZE,🇨🇿,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team,Miroslav Koubek,lukas hornicek
david-zima,2,DF,David Zima,2000-11-08,25,1,Slavia Prague,CZE,https://en.wikipedia.org/wiki/SK_Slavia_Prague,False,https://en.wikipedia.org/wiki/David_Zima,1,0,0,0,CZE,🇨🇿,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team,Miroslav Koubek,david zima
tomas-holes,3,DF,Tomáš Holeš,1993-03-31,41,2,Slavia Prague,CZE,https://en.wikipedia.org/wiki/SK_Slavia_Prague,False,https://en.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Hole%C5%A1,2,0,0,0,CZE,🇨🇿,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team,Miroslav Koubek,tomas holes
robin-hranac,4,DF,Robin Hranáč,2000-01-29,14,1,TSG Hoffenheim,GER,https://en.wikipedia.org/wiki/TSG_1899_Hoffenheim,False,https://en.wikipedia.org/wiki/Robin_Hran%C3%A1%C4%8D,3,0,0,0,CZE,🇨🇿,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team,Miroslav Koubek,robin hranac
vladimir-coufal,5,DF,Vladimír Coufal,1992-08-22,62,2,TSG Hoffenheim,GER,https://en.wikipedia.org/wiki/TSG_1899_Hoffenheim,False,https://en.wikipedia.org/wiki/Vladim%C3%ADr_Coufal,3,0,0,0,CZE,🇨🇿,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team,Miroslav Koubek,vladimir coufal
stepan-chaloupek,6,DF,Štěpán Chaloupek,2003-03-08,5,0,Slavia Prague,CZE,https://en.wikipedia.org/wiki/SK_Slavia_Prague,False,https://en.wikipedia.org/wiki/%C5%A0t%C4%9Bp%C3%A1n_Chaloupek,1,0,0,0,CZE,🇨🇿,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team,Miroslav Koubek,stepan chaloupek
ladislav-krejci,7,DF,Ladislav Krejčí,1999-04-20,27,5,Wolverhampton Wanderers,ENG,https://en.wikipedia.org/wiki/Wolverhampton_Wanderers_F.C.,False,https://en.wikipedia.org/wiki/Ladislav_Krej%C4%8D%C3%AD_(footballer%2C_born_1999),3,1,1,0,CZE,🇨🇿,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team,Miroslav Koubek,ladislav krejci
david-jurasek,14,DF,David Jurásek,2000-08-07,18,1,Slavia Prague,CZE,https://en.wikipedia.org/wiki/SK_Slavia_Prague,False,https://en.wikipedia.org/wiki/David_Jur%C3%A1sek,0,0,0,0,CZE,🇨🇿,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team,Miroslav Koubek,david jurasek
