player_slug,short_name,long_name,nationality_code,nationality_flag,position_roster,shirt_number,date_of_birth,caps,international_goals,club_roster,club_country_code,wiki_url,world_cup_apps_2026,world_cup_goals_2026,world_cup_yellow_2026,world_cup_red_2026,team_code,coach,team_wiki_url
matej-kovar,Matěj Kovář,Matěj Kovář,CZE,🇨🇿,GK,1,2000-05-17,20,0,PSV Eindhoven,NED,https://en.wikipedia.org/wiki/Mat%C4%9Bj_Kov%C3%A1%C5%99,3,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
jindrich-stanek,Jindřich Staněk,Jindřich Staněk,CZE,🇨🇿,GK,16,1996-04-27,14,0,Slavia Prague,CZE,https://en.wikipedia.org/wiki/Jind%C5%99ich_Stan%C4%9Bk,0,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
lukas-hornicek,Lukáš Horníček,Lukáš Horníček,CZE,🇨🇿,GK,23,2002-07-13,1,0,Braga,POR,https://en.wikipedia.org/wiki/Luk%C3%A1%C5%A1_Horn%C3%AD%C4%8Dek,0,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
david-zima,David Zima,David Zima,CZE,🇨🇿,DF,2,2000-11-08,25,1,Slavia Prague,CZE,https://en.wikipedia.org/wiki/David_Zima,1,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
tomas-holes,Tomáš Holeš,Tomáš Holeš,CZE,🇨🇿,DF,3,1993-03-31,41,2,Slavia Prague,CZE,https://en.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Hole%C5%A1,2,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
robin-hranac,Robin Hranáč,Robin Hranáč,CZE,🇨🇿,DF,4,2000-01-29,14,1,TSG Hoffenheim,GER,https://en.wikipedia.org/wiki/Robin_Hran%C3%A1%C4%8D,3,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
vladimir-coufal,Vladimír Coufal,Vladimír Coufal,CZE,🇨🇿,DF,5,1992-08-22,62,2,TSG Hoffenheim,GER,https://en.wikipedia.org/wiki/Vladim%C3%ADr_Coufal,3,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
stepan-chaloupek,Štěpán Chaloupek,Štěpán Chaloupek,CZE,🇨🇿,DF,6,2003-03-08,5,0,Slavia Prague,CZE,https://en.wikipedia.org/wiki/%C5%A0t%C4%9Bp%C3%A1n_Chaloupek,1,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
ladislav-krejci,Ladislav Krejčí,Ladislav Krejčí,CZE,🇨🇿,DF,7,1999-04-20,27,5,Wolverhampton Wanderers,ENG,https://en.wikipedia.org/wiki/Ladislav_Krej%C4%8D%C3%AD_(footballer%2C_born_1999),3,1,1,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
david-jurasek,David Jurásek,David Jurásek,CZE,🇨🇿,DF,14,2000-08-07,18,1,Slavia Prague,CZE,https://en.wikipedia.org/wiki/David_Jur%C3%A1sek,0,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
jaroslav-zeleny,Jaroslav Zelený,Jaroslav Zelený,CZE,🇨🇿,DF,20,1992-08-20,23,0,Sparta Prague,CZE,https://en.wikipedia.org/wiki/Jaroslav_Zelen%C3%BD,2,0,0,0,CZE,Miroslav Koubek,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team
