Player Name,Team Initials,world_cup_matches,tournaments
?URI?I?,SRB,3,2010
A BAUTISTA,MEX,4,2010
A COLE,ENG,14,"2002, 2006, 2010"
A GUARDADO,MEX,4,2010
A MEDINA,MEX,4,2010
A. AL-DOSSARY,KSA,3,1998
A. AL-GANOUBI,KSA,3,1998
A. ALMEIDA,POR,3,2014
A. AYEW,GHA,8,"2010, 2014"
A. BAK,POL,3,2002
A. BALANTA,COL,5,2014
A. CHOL HYOK,PRK,3,2010
A. CRUZ,BRA,7,1998
A. DAEI,IRN,3,1998
A. DELGADO,ECU,4,2006
A. DIARRA,FRA,3,2010
A. FERNANDEZ,ARG,7,2014
A. FERNANDEZ,URU,7,2010
A. GARCIA ASPE,MEX,4,2002
A. GONZALEZ,URU,4,2014
A. GUARDADO,MEX,8,"2006, 2014"
A. GYAN,GHA,8,"2010, 2014"
A. HAGHIGHI,IRN,3,2014
A. HERNANDEZ,URU,4,2014
A. INIESTA,ESP,7,"2006, 2014"
A. JOHN,TRI,3,2006
A. KELLY,IRL,4,2002
A. LATIFI,IRN,3,1998
A. LOPEZ,ESP,4,2006
A. M. NDIAYE,SEN,5,2002
A. MADANI,KSA,7,"1994, 1998"
A. MEJIA,COL,5,2014
A. MOKOENA,RSA,3,2002
A. NAELSON,MEX,4,2006
A. PEREIRA,URU,4,2014
A. PULIDO,MEX,4,2014
A. R. ABEDZADEH,IRN,3,1998
A. R. MANSOURIAN,IRN,3,1998
A. RODRIGUEZ,MEX,4,2002
A. ROJAS,PAR,4,1998
A. SONG,CMR,3,2010
A. SVENSSON,SWE,4,2006
A. TALAVERA,MEX,4,2014
A. TOURE,TOG,3,2006
A. VALENCIA,ECU,7,"2006, 2014"
A. YONG HAK,PRK,3,2010
A. ZUBROMAWI,KSA,4,1994
A.A. OSTAD ASADI,IRN,3,1998
A.BORHANI,IRN,3,2006
A.DAEI,IRN,3,2006
A.INIESTA,ESP,7,2010
A.KARIMI,IRN,3,2006
A.LEMBO,URU,3,2002
A.PEREIRA,URU,7,2010
A.RECOBA,URU,3,2002
A.SADEGHI,IRN,3,2006
ABALO,TOG,3,2006
ABANDA,CMR,3,1998
ABATE,ITA,3,2014
ABBIATI,ITA,4,2002
ABBONDANZIERI,ARG,5,2006
ABDOUN,ALG,3,2010
ABDUL RAHIM,IRQ,3,1986
